Designator,Mid X,Mid Y,Rotation,Layer
C1,165.694733,-148.227155,0.0,top
C10,154.936633,-140.373922,180.0,top
C11,162.8591,-121.025655,180.0,top
C12,167.6901,-143.008555,0.0,top
C13,157.098933,-105.579555,90.0,top
C14,162.902167,-99.313755,90.0,top
C15,135.3166,-110.497288,180.0,top
C16,125.350933,-116.748922,180.0,top
C17,131.6613,-111.541055,0.0,top
C18,155.114332,-94.019155,180.0,top
C19,142.543001,-93.988988,0.0,top
C2,172.295067,-99.146922,270.0,top
C20,131.191533,-119.959422,0.0,top
C21,159.8675,-99.267488,90.0,top
C22,145.390967,-112.581155,0.0,top
C23,141.229,-148.142888,180.0,top
C24,165.653367,-150.912322,0.0,top
C25,143.192233,-124.474088,180.0,top
C26,152.55,-152.331555,0.0,top
C27,163.2197,-126.507255,0.0,top
C28,153.491933,-123.991788,180.0,top
C29,154.4989,-126.987955,180.0,top
C3,165.226833,-113.098755,0.0,top
C30,144.2113,-120.513388,180.0,top
C31,167.526667,-130.264155,0.0,top
C32,161.450067,-82.956522,270.0,top
C33,146.2551,-84.646188,270.0,top
C34,147.483167,-77.934588,0.0,top
C35,166.741133,-84.942822,270.0,top
C36,148.4571,-61.547355,90.0,top
C37,164.354,-85.039155,270.0,top
C38,167.5684,-62.32122,90.0,top
C39,142.3262,-62.385387,90.0,top
C4,155.9761,-148.567388,180.0,top
C40,131.905367,-87.583588,270.0,top
C41,161.237667,-75.057655,270.0,top
C42,124.564267,-77.388755,90.0,top
C43,127.091467,-86.538588,270.0,top
C44,124.569567,-81.436688,270.0,top
C45,131.483767,-74.918088,270.0,top
C46,132.924867,-68.061355,270.0,top
C48,135.171333,-121.901722,180.0,top
C49,133.964933,-135.040188,180.0,top
C5,144.8442,-149.856755,180.0,top
C50,141.993167,-135.538422,0.0,top
C6,171.590833,-154.405822,0.0,top
C7,164.655033,-137.273522,0.0,top
C8,171.916833,-110.987555,270.0,top
C9,163.537333,-123.617488,0.0,top
D1,172.0996,-69.168488,270.0,top
D2,125.235067,-142.317522,270.0,top
D3,125.303933,-136.600755,270.0,top
D4,127.7546,-139.902722,90.0,top
D5,125.226233,-131.097322,90.0,top
D7,168.334733,-90.960522,0.0,top
IC1,169.5597,-102.002809,180.0,top
IC10,146.6333,-154.005522,270.0,top
IC11,160.28733,-86.981555,0.0,top
IC12,160.806367,-130.243555,270.0,top
IC13,152.527534,-85.122255,0.0,top
IC14,155.077067,-63.959822,0.0,top
IC15,164.653099,-78.292188,0.0,top
IC16,138.066133,-81.422755,90.0,top
IC17,133.301867,-127.779755,270.0,top
IC18,133.215867,-141.094055,270.0,top
IC19,144.844467,-128.663588,0.0,top
IC2,163.836367,-116.994122,270.0,top
IC3,163.736467,-154.336255,270.0,top
IC4,161.2947,-140.888022,270.0,top
IC5,165.790967,-101.973155,270.0,top
IC6,153.7524,-110.259188,270.0,top
IC7,132.426733,-115.950988,270.0,top
IC8,155.209333,-101.813588,270.0,top
IC9,145.998433,-116.814255,270.0,top
J1,168.8324,-142.074255,180.0,bottom
J10,148.5124,-152.922588,0.0,bottom
J11,148.5124,-129.049988,0.0,bottom
J12,148.5124,-118.102988,180.0,bottom
J13,138.3524,-142.074255,180.0,bottom
J14,138.3524,-152.922588,0.0,bottom
J15,138.3524,-129.049988,0.0,bottom
J16,138.3524,-118.102988,180.0,bottom
J17,128.1924,-116.717655,180.0,bottom
J18,128.1924,-127.633955,0.0,bottom
J19,171.039667,-79.535755,0.0,top
J2,168.8324,-152.922588,0.0,bottom
J20,156.210367,-75.215555,0.0,top
J21,128.1924,-140.816955,180.0,bottom
J3,168.8324,-129.049988,0.0,bottom
J4,168.8324,-118.102988,180.0,bottom
J5,158.6724,-142.074255,180.0,bottom
